video                                           , accuracy             , precision          , recall                , f1                   , tp    , fp   , fn
6847068375719_2                                 , 0.6837725381414702   , 0.9979757085020243 , 0.6847222222222222    , 0.8121911037891268   ,   2465,     5,   1135
1080p_20220331_200606_recording_1648740480_cc   , 0.7935323383084577   , 0.8836565096952909 , 0.8861111111111111    , 0.8848821081830791   ,   3190,   420,    410
1080p_20220412_192321_recording_1649772120_bf   , 0.18733867681021601  , 0.488141592920354  , 0.2331360946745562    , 0.3155606407322654   ,   1379,  1446,   4536
1080p_20220331_165406_recording_1648729500_ab   , 0.39869585468095015  , 0.7115544472152951 , 0.47555555555555556   , 0.5700965700965701   ,   1712,   694,   1888
1080p_20230322_134424_presenter_dcd87edc_34a5   , 0.9725152692948362   , 0.9994293865905849 , 0.9730555555555556    , 0.9860661505981704   ,   3503,     2,     97
atrium_125_2                                    , 0.6247158503823104   , 0.9858144464373064 , 0.6303826504014179    , 0.7690155176799797   ,   6046,    87,   3545
korolev                                         , 0.043333333333333335 , 1.0                , 0.043333333333333335  , 0.08306709265175719  ,    156,     0,   3444
atrium_118_5                                    , 0.8678121102951365   , 0.9972929936305732 , 0.8698611111111111    , 0.9292284866468842   ,   6263,    17,    937
parsa                                           , 0.9238888888888889   , 1.0                , 0.9238888888888889    , 0.9604389257868899   ,   3326,     0,    274
1080p_20230311_174953_recording_1678528560_13   , 0.9836111111111111   , 1.0                , 0.9836111111111111    , 0.9917378518414788   ,   3541,     0,     59
1080p_20230323_003341_presenter_1faa9d20_b66a   , 0.9839424141749723   , 0.9966348850252383 , 0.9872222222222222    , 0.9919062238347752   ,   3554,    12,     46
1080p_20220425_175858_recording_1650892560_84   , 0.005014435496125209 , 0.7674418604651163 , 0.0050220666565210775 , 0.009978832778953735 ,     33,    10,   6538
1080p_20230318_205539_recording_1679145360_fa   , 0.7801379310344828   , 0.9912372940764108 , 0.7855555555555556    , 0.876491554315822    ,   2828,    25,    772
atrium_118_4                                    , 0.974648663543676    , 0.9918676388109927 , 0.9825                , 0.9871615964275747   ,   3537,    29,     63
1080p_20220405_162314_recording_1649158560_66   , 0.1626992341130201   , 0.3896876549330689 , 0.21833333333333332   , 0.2798646964571835   ,    786,  1231,   2814
1080p_20220419_112841_recording_1650351600_be   , 0.009982083439979524 , 0.11271676300578035, 0.010833333333333334  , 0.019766852508869743 ,     39,   307,   3561
saslastnikov                                    , 0.0954656089425764   , 0.783284023668639  , 0.09805555555555556   , 0.17429229756418696  ,   1059,   293,   9741
6847068375719                                   , 0.06620498614958449  , 0.9598393574297188 , 0.06638888888888889   , 0.12418810080540402  ,    239,    10,   3361
atrium_118_2                                    , 0.7092309102575854   , 0.9861075707366811 , 0.7163888888888889    , 0.8298830848439342   ,   7737,   109,   3063
adpiskunov                                      , 0.8060857538035962   , 0.9948787982246501 , 0.8094444444444444    , 0.89263286873947     ,   2914,    15,    686
1080p_20220419_173326_recording_1650373200_25   , 0.8514525553452391   , 0.9991308546595847 , 0.8520836764948114    , 0.9197670800551184   ,  10346,     9,   1796
1080p_20230407_144945_presenter_14938622_bbc3   , 0.9877777777777778   , 1.0                , 0.9877777777777778    , 0.9938513135830073   ,   3556,     0,     44
atrium_118_3                                    , 0.4397005822012753   , 0.9956057752667922 , 0.44055555555555553   , 0.6108222607356055   ,   1586,     7,   2014
6847068375719_1                                 , 0.6948694869486949   , 0.9993527508090615 , 0.695182350292661     , 0.8199681359532661   ,   1544,     1,    677
7008781273705_1                                 , 0.0006905123601712471, 0.10869565217391304, 0.0006944444444444445 , 0.001380071763731714 ,      5,    41,   7195
atrium_125_6                                    , 0.6767552349111385   , 0.9773824650571792 , 0.6875223453700393    , 0.8072200650645397   ,   7692,   178,   3496
atrium_125_4                                    , 0.8447058823529412   , 0.995920365535248  , 0.8476388888888889    , 0.9158163265306123   ,   6103,    25,   1097
atrium_118_1                                    , 0.9761310019428254   , 0.9991477272727273 , 0.9769444444444444    , 0.9879213483146068   ,   3517,     3,     83
atrium_118_6                                    , 0.9845833333333334   , 1.0                , 0.9845833333333334    , 0.9922317866890615   ,  14178,     0,    222
1080p_20220330_154734_recording_1648639200_1e   , 0.162309177048605    , 0.3058862433862434 , 0.2569444444444444    , 0.27928743961352653  ,    925,  2099,   2675
7008781273705_2                                 , 0.0014868883482022169, 0.05263157894736842, 0.0015277777777777779 , 0.0029693615872587397,     11,   198,   7189
palmasizade                                     , 0.8130661542684601   , 0.9856905158069883 , 0.8227777777777778    , 0.896896290688872    ,   2962,    43,    638
01080p_20230322_101245_608727_0427              , 0.9394444444444444   , 1.0                , 0.9394444444444444    , 0.9687768547694071   ,   3382,     0,    218
1080p_20220331_155536_recording_1648726140_8e   , 0.16075062174994348  , 0.4634941329856584 , 0.1975                , 0.27697701597195173  ,    711,   823,   2889
7008781273705                                   , 0.002986695628563671 , 0.11702127659574468, 0.0030555555555555557 , 0.005955603681645913 ,     22,   166,   7178
1080p_20220331_135917_recording_1648718820_5b   , 0.24220963172804533  , 0.47144545096494683, 0.3325                , 0.3899657924743444   ,   1197,  1342,   2403
1080p_20220331_115400_recording_1648711500_cf   , 0.5803977953510664   , 0.8086811352253757 , 0.6727777777777778    , 0.7344958301743746   ,   2422,   573,   1178
1080p_20220331_125501_recording_1648715160_ed   , 0.21128226477935055  , 0.45741324921135645, 0.28194444444444444   , 0.34885719195738096  ,   1015,  1204,   2585
1080p_20230318_192453_recording_1679139360_ac   , 0.7847655191108701   , 0.9701742627345844 , 0.8041666666666667    , 0.879404617253949    ,   2895,    89,    705
7132965636760_1                                 , 0.011235955056179775 , 0.04814814814814815, 0.014444444444444444  , 0.022222222222222223 ,     52,  1028,   3548
7159730539244                                   , 0.0                  , 0.0                , 0.0                   , 0.0                  ,      0,   756,   3600
1080p_20220330_183500_recording_1648646400_9f   , 0.5996324494618009   , 0.9161652627356599 , 0.6344444444444445    , 0.7497127851633022   ,   2284,   209,   1316
6847068375719_4                                 , 0.3129274965800274   , 0.9651898734177216 , 0.31649948114839155   , 0.4766866371450899   ,   1830,    66,   3952
1080p_20220419_172843_recording_1650373200_e4   , 0.5904682737600443   , 0.9957943925233644 , 0.5919444444444445    , 0.7425087108013937   ,   2131,     9,   1469
1080p_20220419_133202_recording_1650358800_2a   , 0.411214953271028    , 1.0                , 0.411214953271028     , 0.5827814569536424   ,     88,     0,    126
1080p_20220331_175806_recording_1648733160_9c(1), 0.5874488403819919   , 0.9706943192064923 , 0.5980555555555556    , 0.7401168786524579   ,   2153,    65,   1447
6847068375719_5                                 , 0.3621621621621622   , 0.9948600799543118 , 0.3628410747760883    , 0.5317460317460317   ,   1742,     9,   3059
1080p_20230318_181608_602198_0                  , 0.7971334068357222   , 0.9904109589041096 , 0.8033333333333333    , 0.8871165644171779   ,   2892,    28,    708
atrium_125_1                                    , 0.6486237687563289   , 0.9911379940919961 , 0.6524074074074074    , 0.786866938410855    ,   7046,    63,   3754
1080p_20220330_204700_recording_1648657080_0c   , 0.7914278594567655   , 0.8849261632766787 , 0.8822222222222222    , 0.8835721240784532   ,   3176,   413,    424
6847068375719_3                                 , 0.2533112582781457   , 0.9100371747211896 , 0.2598174485247294    , 0.404227212681638    ,   1224,   121,   3487
1080p_20220419_153157_recording_1650366000_bc   , 0.16689808386559288  , 0.9983388704318937 , 0.16694444444444445   , 0.28605425987624944  ,    601,     1,   2999
vvromanov                                       , 0.5311057375247307   , 0.8291008922443377 , 0.5963959516168847    , 0.6937544867193108   ,   2416,   498,   1635
atrium_125_5                                    , 0.7579794615598112   , 0.9989027066569129 , 0.7586111111111111    , 0.8623302810230502   ,   5462,     6,   1738
1080p_20220331_211018_recording_1648744140_1c   , 0.2294557097118463   , 0.4976851851851852 , 0.2986111111111111    , 0.3732638888888889   ,   1075,  1085,   2525
1080p_20220602_111012_recording_1654092000_c4   , 0.7634498058790904   , 0.9978252990213845 , 0.7647222222222222    , 0.8658594118572103   ,   2753,     6,    847
1080p_20220330_123150_recording_1648628700_1d   , 0.3551467163483931   , 0.6872465074357819 , 0.4236111111111111    , 0.5241450421034541   ,   1525,   694,   2075
1080p_20220331_175806_recording_1648733160_9c   , 0.47997470489038785  , 0.6655948553054662 , 0.6325                , 0.6486255519156814   ,   2277,  1144,   1323
6945730529978                                   , 0.000406421459053038 , 0.11764705882352941, 0.00040766408479412964, 0.0008125126955108674,      2,    15,   4904
7132965636760                                   , 0.0027533039647577094, 0.23809523809523808, 0.002777777777777778  , 0.0054914881933003845,     10,    32,   3590
atrium_125_3                                    , 0.9258092237181323   , 0.994767620806402  , 0.9303396660909614    , 0.9614755317566562   ,   3232,    17,    242
6816186370656                                   , 0.49951409135082603  , 0.9991668980838656 , 0.49972222222222223   , 0.6662346079066752   ,   3598,     3,   3602
1080p_20220330_144234_recording_1648635300_87   , 0.44757885384273655  , 0.6907781967775112 , 0.5597222222222222    , 0.6183826914224337   ,   2015,   902,   1585
0421080p_20230311_165308_recording_1678521960   , 0.7741398446170921   , 0.9985683607730852 , 0.775                 , 0.8726931498279638   ,   2790,     4,    810
TOTAL                                           , 0.5090116677696495   , 0.9013550679117596 , 0.5390397358310682    , 0.6746292008755364   , 170750, 18687, 146017
